process,location,material,current_gwp,classification,reason,recommended_action,notes
Bauxite mining,AU,bauxite,0.0,unintended_missing_background,"Current no-biosphere run file contains only a production output for Bauxite mining; no bauxite mining technosphere proxy was linked, so LCIA is zero.",Add one bauxite mine operation | bauxite | GLO technosphere proxy row per topology location.,Exact local Brightway activity exists: bauxite mine operation | bauxite | GLO | kilogram.
Bauxite mining,CN,bauxite,0.0,unintended_missing_background,"Current no-biosphere run file contains only a production output for Bauxite mining; no bauxite mining technosphere proxy was linked, so LCIA is zero.",Add one bauxite mine operation | bauxite | GLO technosphere proxy row per topology location.,Exact local Brightway activity exists: bauxite mine operation | bauxite | GLO | kilogram.
Bauxite mining,GR,bauxite,0.0,unintended_missing_background,"Current no-biosphere run file contains only a production output for Bauxite mining; no bauxite mining technosphere proxy was linked, so LCIA is zero.",Add one bauxite mine operation | bauxite | GLO technosphere proxy row per topology location.,Exact local Brightway activity exists: bauxite mine operation | bauxite | GLO | kilogram.
Bauxite mining,KZ,bauxite,0.0,unintended_missing_background,"Current no-biosphere run file contains only a production output for Bauxite mining; no bauxite mining technosphere proxy was linked, so LCIA is zero.",Add one bauxite mine operation | bauxite | GLO technosphere proxy row per topology location.,Exact local Brightway activity exists: bauxite mine operation | bauxite | GLO | kilogram.
Zinc concentration,AU,Zn_sphalerite_concentrate,0.0,boundary_overlap_avoidance,Zinc concentration is production-only because the available generic zinc concentrate proxy is already assigned to ZS mining and combines mining/concentration boundary.,Keep zero unless a separate zinc concentration-only dataset is found; do not duplicate zinc mine operation burden.,Avoids double counting with ZS mining zinc mine operation | zinc concentrate | GLO.
Zinc concentration,CA,Zn_sphalerite_concentrate,0.0,boundary_overlap_avoidance,Zinc concentration is production-only because the available generic zinc concentrate proxy is already assigned to ZS mining and combines mining/concentration boundary.,Keep zero unless a separate zinc concentration-only dataset is found; do not duplicate zinc mine operation burden.,Avoids double counting with ZS mining zinc mine operation | zinc concentrate | GLO.
Zinc concentration,CN,Zn_sphalerite_concentrate,0.0,boundary_overlap_avoidance,Zinc concentration is production-only because the available generic zinc concentrate proxy is already assigned to ZS mining and combines mining/concentration boundary.,Keep zero unless a separate zinc concentration-only dataset is found; do not duplicate zinc mine operation burden.,Avoids double counting with ZS mining zinc mine operation | zinc concentrate | GLO.
Zinc concentration,JP,Zn_sphalerite_concentrate,0.0,boundary_overlap_avoidance,Zinc concentration is production-only because the available generic zinc concentrate proxy is already assigned to ZS mining and combines mining/concentration boundary.,Keep zero unless a separate zinc concentration-only dataset is found; do not duplicate zinc mine operation burden.,Avoids double counting with ZS mining zinc mine operation | zinc concentrate | GLO.
Zinc concentration,KR,Zn_sphalerite_concentrate,0.0,boundary_overlap_avoidance,Zinc concentration is production-only because the available generic zinc concentrate proxy is already assigned to ZS mining and combines mining/concentration boundary.,Keep zero unless a separate zinc concentration-only dataset is found; do not duplicate zinc mine operation burden.,Avoids double counting with ZS mining zinc mine operation | zinc concentrate | GLO.
Zinc concentration,KZ,Zn_sphalerite_concentrate,0.0,boundary_overlap_avoidance,Zinc concentration is production-only because the available generic zinc concentrate proxy is already assigned to ZS mining and combines mining/concentration boundary.,Keep zero unless a separate zinc concentration-only dataset is found; do not duplicate zinc mine operation burden.,Avoids double counting with ZS mining zinc mine operation | zinc concentrate | GLO.
Zinc concentration,US,Zn_sphalerite_concentrate,0.0,boundary_overlap_avoidance,Zinc concentration is production-only because the available generic zinc concentrate proxy is already assigned to ZS mining and combines mining/concentration boundary.,Keep zero unless a separate zinc concentration-only dataset is found; do not duplicate zinc mine operation burden.,Avoids double counting with ZS mining zinc mine operation | zinc concentrate | GLO.
