process_from,loc_from,process_to,loc_to,material,notes
chemical transformation,CN,magnet manufacturing,EE,neodynium dysprosium iron alloy,"[AI validated: ok, High conf] Alloy trade to magnet mfg"
chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,"[AI validated: ok, High conf] Alloy trade to magnet mfg"
chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,"[AI validated: ok, High conf] Alloy trade to magnet mfg"
chemical transformation,EE,magnet manufacturing,CN,neodynium dysprosium iron alloy,"[AI validated: ok, Medium conf] Alloy trade to magnet mfg"
chemical transformation,EE,magnet manufacturing,JP,neodynium dysprosium iron alloy,"[AI validated: ok, High conf] Alloy trade to magnet mfg"
chemical transformation,EE,magnet manufacturing,US,neodynium dysprosium iron alloy,"[AI validated: ok, High conf] Alloy trade to magnet mfg"
chemical transformation,JP,magnet manufacturing,EE,neodynium dysprosium iron alloy,"[AI validated: suspect, Medium conf] Alloy trade to magnet mfg"
chemical transformation,JP,magnet manufacturing,US,neodynium dysprosium iron alloy,"[AI validated: ok, High conf] Alloy trade to magnet mfg"
chemical transformation,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,"[AI validated: suspect, Medium conf] Alloy trade to magnet mfg"
chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,"[AI validated: ok, High conf] Alloy trade to magnet mfg"
clay refining,AU,metallothermic reduction,CN,dysprosium_oxide,"[AI validated: suspect, Medium conf] AU Lynas oxide exports"
clay refining,AU,metallothermic reduction,EE,dysprosium_oxide,"[AI validated: suspect, Medium conf] AU Lynas oxide exports"
clay refining,AU,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] AU Lynas oxide exports"
clay refining,AU,metallothermic reduction,US,dysprosium_oxide,"[AI validated: suspect, Medium conf] AU Lynas oxide exports"
clay refining,AU,molten_salt electrolysis,CN,neodynium_oxide,"[AI validated: suspect, Medium conf] AU Lynas oxide exports"
clay refining,AU,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] AU Lynas oxide exports"
clay refining,AU,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] AU Lynas oxide exports"
clay refining,BR,metallothermic reduction,EE,dysprosium_oxide,"[AI validated: ok, Medium conf] BR Serra Verde oxide exports"
clay refining,BR,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, Medium conf] BR Serra Verde oxide exports"
clay refining,BR,molten_salt electrolysis,EE,neodynium_oxide,"[AI validated: ok, Medium conf] BR Serra Verde oxide exports"
clay refining,BR,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: suspect, Medium conf] BR Serra Verde oxide exports"
clay refining,CN,metallothermic reduction,EE,dysprosium_oxide,"[AI validated: ok, High conf] CN oxide exports"
clay refining,CN,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] CN oxide exports"
clay refining,CN,metallothermic reduction,US,dysprosium_oxide,"[AI validated: suspect, Medium conf] CN oxide exports"
clay refining,CN,molten_salt electrolysis,EE,neodynium_oxide,"[AI validated: ok, High conf] CN oxide exports"
clay refining,CN,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] CN oxide exports"
clay refining,CN,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] CN oxide exports"
clay refining,MM,metallothermic reduction,CN,dysprosium_oxide,"[AI validated: ok, High conf] MM clay→CN MR only (border geography)"
clay refining,MM,molten_salt electrolysis,CN,neodynium_oxide,"[AI validated: ok, High conf] MM clay→CN MSE only (border geography)"
hydrochloric acid digestion,AU,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] AU HCAD→MR oxide trade"
hydrochloric acid digestion,AU,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, High conf] AU HCAD→MR oxide trade"
hydrochloric acid digestion,AU,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] AU HCAD→MSE oxide trade"
hydrochloric acid digestion,AU,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] AU HCAD→MSE oxide trade"
hydrochloric acid digestion,CN,metallothermic reduction,EE,dysprosium_oxide,"[AI validated: ok, High conf] CN HCAD→MR oxide trade"
hydrochloric acid digestion,CN,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] CN HCAD→MR oxide trade"
hydrochloric acid digestion,CN,metallothermic reduction,US,dysprosium_oxide,"[AI validated: suspect, Medium conf] CN HCAD→MR oxide trade"
hydrochloric acid digestion,CN,molten_salt electrolysis,EE,neodynium_oxide,"[AI validated: ok, High conf] CN HCAD→MSE oxide trade"
hydrochloric acid digestion,CN,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] CN HCAD→MSE oxide trade"
hydrochloric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, Medium conf] CN HCAD→MSE oxide trade"
hydrochloric acid digestion,EE,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] EE HCAD→MR oxide trade"
hydrochloric acid digestion,EE,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, High conf] EE HCAD→MR oxide trade"
hydrochloric acid digestion,EE,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] EE HCAD→MSE oxide trade"
hydrochloric acid digestion,EE,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] EE HCAD→MSE oxide trade"
hydrochloric acid digestion,MY,metallothermic reduction,CN,dysprosium_oxide,"[AI validated: ok, High conf] MY HCAD→MR oxide trade"
hydrochloric acid digestion,MY,metallothermic reduction,EE,dysprosium_oxide,"[AI validated: ok, High conf] MY HCAD→MR oxide trade"
hydrochloric acid digestion,MY,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] MY HCAD→MR oxide trade"
hydrochloric acid digestion,MY,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, High conf] MY HCAD→MR oxide trade"
hydrochloric acid digestion,MY,molten_salt electrolysis,CN,neodynium_oxide,"[AI validated: suspect, Medium conf] MY HCAD→MSE oxide trade"
hydrochloric acid digestion,MY,molten_salt electrolysis,EE,neodynium_oxide,"[AI validated: ok, High conf] MY HCAD→MSE oxide trade"
hydrochloric acid digestion,MY,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] MY HCAD→MSE oxide trade"
hydrochloric acid digestion,MY,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] MY HCAD→MSE oxide trade"
hydrochloric acid digestion,US,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: suspect, Medium conf] US HCAD→JP MSE"
hydrometallurgical,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,"[AI validated: ok, Medium conf] US EoL hydrometallurgical alloy → foreign magnet mfg"
magnet manufacturing,CN,magnet_market_mix,US,hp_magnet,"[AI validated: ok, High conf] Magnet imports to US market"
magnet manufacturing,EE,magnet_market_mix,US,hp_magnet,"[AI validated: ok, High conf] Magnet imports to US market"
magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,"[AI validated: ok, High conf] Magnet imports to US market"
metallothermic reduction,CN,chemical transformation,EE,dysprosium,"[AI validated: ok, Medium conf] Dy metal trade to CT"
metallothermic reduction,CN,chemical transformation,JP,dysprosium,"[AI validated: ok, High conf] Dy metal trade to CT"
metallothermic reduction,CN,chemical transformation,US,dysprosium,"[AI validated: suspect, Medium conf] Dy metal trade to CT"
metallothermic reduction,EE,chemical transformation,JP,dysprosium,"[AI validated: ok, High conf] Dy metal trade to CT"
metallothermic reduction,EE,chemical transformation,US,dysprosium,"[AI validated: ok, Medium conf] Dy metal trade to CT"
metallothermic reduction,JP,chemical transformation,US,dysprosium,"[AI validated: suspect, Medium conf] Dy metal trade to CT"
metallothermic reduction,US,chemical transformation,EE,dysprosium,"[AI validated: suspect, Medium conf] Dy metal trade to CT"
metallothermic reduction,US,chemical transformation,JP,dysprosium,"[AI validated: suspect, Medium conf] Dy metal trade to CT"
mining,AU,beneficiation,CN,bastnasite,"[AI validated: suspect, Medium conf] AU ore to CN/US (historical + emerging)"
mining,AU,beneficiation,US,bastnasite,"[AI validated: suspect, Medium conf] AU ore to CN/US (historical + emerging)"
mining,AU,beneficiation,US,monazaite,"[AI validated: ok, Medium conf] AU ore to CN/US (historical + emerging)"
mining,CA,beneficiation,US,bastnasite,"[AI validated: ok, Medium conf] CA→US USMCA ore trade"
mining,CA,beneficiation,US,monazaite,"[AI validated: suspect, Medium conf] CA→US USMCA ore trade"
molten_salt electrolysis,CN,chemical transformation,EE,neodynium,"[AI validated: ok, High conf] Nd metal trade to CT"
molten_salt electrolysis,CN,chemical transformation,JP,neodynium,"[AI validated: ok, High conf] Nd metal trade to CT"
molten_salt electrolysis,CN,chemical transformation,US,neodynium,"[AI validated: ok, Medium conf] Nd metal trade to CT"
molten_salt electrolysis,EE,chemical transformation,JP,neodynium,"[AI validated: ok, High conf] Nd metal trade to CT"
molten_salt electrolysis,EE,chemical transformation,US,neodynium,"[AI validated: ok, High conf] Nd metal trade to CT"
molten_salt electrolysis,JP,chemical transformation,US,neodynium,"[AI validated: ok, Medium conf] Nd metal trade to CT"
molten_salt electrolysis,US,chemical transformation,EE,neodynium,"[AI validated: suspect, Medium conf] Nd metal trade to CT"
molten_salt electrolysis,US,chemical transformation,JP,neodynium,"[AI validated: suspect, Medium conf] Nd metal trade to CT"
pyrometallurgical,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,"[AI validated: suspect, Medium conf] US EoL pyrometallurgical alloy → foreign magnet mfg"
pyrometallurgical,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,"[AI validated: suspect, Medium conf] US EoL pyrometallurgical alloy → foreign magnet mfg"
sulfuric acid digestion,AU,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] AU SAD→MR oxide trade"
sulfuric acid digestion,AU,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, High conf] AU SAD→MR oxide trade"
sulfuric acid digestion,AU,molten_salt electrolysis,CN,neodynium_oxide,"[AI validated: ok, High conf] AU SAD→MSE oxide trade"
sulfuric acid digestion,AU,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] AU SAD→MSE oxide trade"
sulfuric acid digestion,AU,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] AU SAD→MSE oxide trade"
sulfuric acid digestion,CN,metallothermic reduction,EE,dysprosium_oxide,"[AI validated: ok, High conf] CN SAD→MR oxide trade"
sulfuric acid digestion,CN,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] CN SAD→MR oxide trade"
sulfuric acid digestion,CN,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, Medium conf] CN SAD→MR oxide trade"
sulfuric acid digestion,CN,molten_salt electrolysis,EE,neodynium_oxide,"[AI validated: ok, High conf] CN SAD→MSE oxide trade"
sulfuric acid digestion,CN,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] CN SAD→MSE oxide trade"
sulfuric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: suspect, Medium conf] CN SAD→MSE oxide trade"
sulfuric acid digestion,EE,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] EE SAD→MR oxide trade"
sulfuric acid digestion,EE,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, High conf] EE SAD→MR oxide trade"
sulfuric acid digestion,EE,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, Medium conf] EE SAD→MSE oxide trade"
sulfuric acid digestion,EE,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] EE SAD→MSE oxide trade"
sulfuric acid digestion,MY,metallothermic reduction,CN,dysprosium_oxide,"[AI validated: ok, High conf] MY SAD→MR oxide trade"
sulfuric acid digestion,MY,metallothermic reduction,EE,dysprosium_oxide,"[AI validated: ok, High conf] MY SAD→MR oxide trade"
