time_period,process,location,material,capacity,notes
0,beneficiation,AU,flurocarbonate,24983734.54782043,TEA file
0,beneficiation,AU,phosphate,0.0,TEA file
0,clay mining,AU,ion adsorption clay,0.0,"Not yet commercial but possible: TEA file + https://rareearthexchanges.com/news/australia-builds-the-missing-link-a-national-clay-ree-processing-plant-arrives-in-2026/#:~:text=Exchange%20Requests-,Australia%20Builds%20the%20Missing%20Link:%20A%20National%20Clay%2DREE%20Processing,to%20come%20online%20in%202026."
0,clay refining,AU,dysprosium_oxide,0.0,Based on Dy content in REO
0,clay refining,AU,neodynium_oxide,0.0,Based on Nd content in REO
0,hydrochloric acid digestion,AU,dysprosium_oxide,0.0,TEA file
0,hydrochloric acid digestion,AU,neodynium_oxide,0.0,TEA file
0,mining,AU,bastnasite,24983734.54782043,TEA file
0,mining,AU,monazaite,0.0,TEA file
0,sulfuric acid digestion,AU,dysprosium_oxide,0.0,TEA file
0,sulfuric acid digestion,AU,neodynium_oxide,0.0,TEA file
0,clay mining,BR,ion adsorption clay,8760107.81671159,Brazil Serra Verde IAC; all 4 magnet REEs including Dy Tb
0,clay refining,BR,dysprosium_oxide,262803.2345013477,Based on Dy content in REO
0,clay refining,BR,neodynium_oxide,1489218.3288409703,Based on Nd content in REO
0,mining,BR,bastnasite,6738544.474393532,Brazil Serra Verde Pela Ema; Phase 1 2024; HREE-rich IAC deposit - possibly double in 10 years
0,mining,BR,monazaite,0.0,Brazil monazite sands are not exploited at the moment (https://www.questmetals.com/blog/potential-of-rare-earth-elements-in-brazil)
0,mining,CA,bastnasite,0.0,"Canada placeholder; 14M MT reserves; DOD-backed projects ramping - planned 5,000 MT in the next couple of years (https://www.iti.gov.nt.ca/en/newsroom/it%E2%80%99s-first-everything-what%E2%80%99s-earth-worth#:~:text=Rare%20Earth%202022.&text=A%20valuation%20of%20the%20rare,oxide%20mined%20annually%20by%202025.), adding 5,000 to year 2"
0,mining,CA,monazaite,0.0,"Main REE deposit imminently exploited is the Nechalacho project mainly constituded of Bastnasite https://www.iti.gov.nt.ca/en/newsroom/nechalacho-first-nwt-mining#:~:text=In%20mid%2DOctober%20of%202021,heavy%20REE%20to%20the%20world. Nechalacho project is the most advanced https://www.facetsjournal.com/doi/10.1139/facets-2025-0148#:~:text=Abstract,(with%20resource%20estimate%20only)."
0,beneficiation,CN,flurocarbonate,170167224.08026755,TEA file
0,beneficiation,CN,phosphate,67424749.1638796,TEA file
0,chemical transformation,CN,neodynium dysprosium iron alloy,240000000.0,TEA file (assumed same as magnet manufacturing)
0,clay mining,CN,ion adsorption clay,27959866.220735785,TEA file
0,clay refining,CN,dysprosium_oxide,838795.99,Based on Dy content in REO [S3+S6: Dy Choke & Circular Response: CN DyOx ramp-down 100% of baseline at t=0]
0,clay refining,CN,neodynium_oxide,4753177.257525084,Based on Nd content in REO
0,hydrochloric acid digestion,CN,dysprosium_oxide,270000.0,TEA file + Dy oxide content in total bastnasite REO content [S3+S6: Dy Choke & Circular Response: CN DyOx ramp-down 100% of baseline at t=0]
0,hydrochloric acid digestion,CN,neodynium_oxide,25200000.000000004,TEA file + Nd oxide content in total bastnasite REO content
0,magnet manufacturing,CN,hp_magnet,240000000.0,TEA file
0,metallothermic reduction,CN,dysprosium,19600000.0,TEA file [S3+S6: Dy Choke & Circular Response: CN DyOx ramp-down 100% of baseline at t=0]
0,mining,CN,bastnasite,170167224.08026755,TEA file
0,mining,CN,monazaite,67424749.1638796,TEA file
0,molten_salt electrolysis,CN,neodynium,46000000.0,TEA file
0,sulfuric acid digestion,CN,dysprosium_oxide,360000.0,TEA file + Dy oxide content in total bastnasite REO content [S3+S6: Dy Choke & Circular Response: CN DyOx ramp-down 100% of baseline at t=0]
0,sulfuric acid digestion,CN,neodynium_oxide,7650000.000000001,TEA file + Nd oxide content in total bastnasite REO content
0,chemical transformation,EE,neodynium dysprosium iron alloy,2000000.0,TEA file (assumed same as magnet manufacturing)
0,hydrochloric acid digestion,EE,dysprosium_oxide,40000.0,"Assumed same as subsequent step, process mentions nitric acid a lot but also show HCL in their figure: https://www.hallgartenco.com/pdf/RareEarths/NEO_July2019.pdf"
0,hydrochloric acid digestion,EE,neodynium_oxide,600000.0,"Assumed same as subsequent step, process mentions nitric acid a lot but also show HCL in their figure: https://www.hallgartenco.com/pdf/RareEarths/NEO_July2019.pdf"
0,magnet manufacturing,EE,hp_magnet,2000000.0,"Neo Narva NdFeB plant; 2000 t/yr Phase1A 2025, scaling to 5000"
0,metallothermic reduction,EE,dysprosium,40000,"Neo Silmet Dy metal, https://www.neomaterials.com/neo-opens-state-of-the-art-magnet-facility-europe/#:~:text=Co%2Dfunded%20by%20the%20European,mt/year%20in%20Phase%201B. Not sure if process is indeed metallothermic reduction [S3+S6: Dy Choke & Circular Response: Nominal allied Dy metal scale-up]"
