repo_path,source_path,file_type,description,included_in_git_package,notes
data/gallium/lci/gallium_master_lci_liaison_ready.csv,LiAISON local masterfile folder/gallium_lci_compiled_topology_expanded_liaison_ready_v1.csv,LCI CSV,Topology-expanded Gallium master LCI in LiAISON-ready schema,TRUE,Public-facing master LCI; original LiAISON file was copied not moved
data/gallium/lci/gallium_master_lci_liaison_ready.xlsx,LiAISON local masterfile folder/gallium_lci_compiled_topology_expanded_liaison_ready_v1.xlsx,LCI workbook,Workbook copy of topology-expanded Gallium master LCI,TRUE,Public-facing master LCI workbook; original LiAISON file was copied not moved
data/gallium/lcia/gallium_lcia_node_summary.csv,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/gallium_lcia_node_summary_patch_v2.csv,LCIA CSV,Patch-v2 raw/clean node-level LCIA summary by scope process location material and method,TRUE,Not converted to EF_Template.csv in this package
data/gallium/lcia/reports/gallium_lcia_run_report.md,LiAISON local masterfile folder/lcia_pre_ef_conversion_patch_v2_report.md,Markdown report,Sanitized pre-EF conversion patch-v2 run report,TRUE,Absolute local paths removed
data/gallium/lcia/audits/gallium_lcia_zero_variant_boundary_audit.csv,LiAISON local masterfile folder/lcia_zero_variant_boundary_audit_v2.csv,Audit CSV,Zero-GWP variant classification audit,TRUE,Documents intentional Zinc concentration zero placeholders
data/gallium/lcia/audits/gallium_bauxite_alumina_boundary_audit.csv,LiAISON local masterfile folder/bauxite_alumina_boundary_patch_audit_v1.csv,Audit CSV,Bauxite/alumina step-wise boundary and double-counting audit,TRUE,Documents bauxite-separated and alumina bauxite-excluded proxy treatment
data/gallium/lcia/audits/gallium_zinc_mining_concentration_boundary_audit.csv,LiAISON local masterfile folder/zinc_mining_concentration_boundary_audit_v1.csv,Audit CSV,Zinc mining and concentration boundary audit,TRUE,Documents why Zinc concentration remains zero-burden placeholder
data/gallium/lcia/audits/gallium_gan_si_wafer_background_patch_audit.csv,LiAISON local masterfile folder/gan_si_wafer_background_patch_audit_v2.csv,Audit CSV,GaN single-Si wafer background patch audit,TRUE,Documents exact local activity match for electronics single-Si wafer
data/gallium/lcia/audits/gallium_lcia_patch_comparison_summary.csv,LiAISON local masterfile folder/lcia_patch_v2_comparison_summary.csv,Audit CSV,Old-vs-patched total-life-cycle GWP comparison,TRUE,Includes cautions for non-targeted rerun shifts from ambiguous background matching
data/gallium/lcia/README.md,Created during repository packaging,README,Package overview boundary notes and EF conversion caveats,TRUE,Repo-authored public-facing package documentation
